"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","It is our sacred duty to support America’s Service Members every single day they wear the uniform – and every day a… https://t.co/W7R4GX3yj7",FALSE,41226,NA,2018-11-15 20:43:42,TRUE,NA,"1063170699500642304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10631,FALSE,FALSE,NA,NA
"2","Last year, I signed the landmark VA Accountability Act to ensure those who mistreat our Veterans can be held fully… https://t.co/iKPN2CoBgA",FALSE,43599,NA,2018-11-15 20:39:51,TRUE,NA,"1063169733535678464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11376,FALSE,FALSE,NA,NA
"3","It was my great honor to host a @WhiteHouse Conference on Supporting Veterans &amp; Military Families...

To everyone h… https://t.co/6QELuQOJ24",FALSE,34497,NA,2018-11-15 20:34:20,TRUE,NA,"1063168341941063680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8646,FALSE,FALSE,NA,NA
"4",".@FLOTUS Melania and I were honored to visit with our GREAT U.S. MARINES at the Marine Barracks here in Washington,… https://t.co/KIPLJDQ1sp",FALSE,37903,NA,2018-11-15 20:08:32,TRUE,NA,"1063161848952836096",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",9523,FALSE,FALSE,NA,NA
"5","The only “Collusion” is that of the Democrats with Russia and many others. Why didn’t the FBI take the Server from… https://t.co/yb97dayXd6",FALSE,84229,NA,2018-11-15 14:59:28,TRUE,NA,"1063084073231544320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25179,FALSE,FALSE,NA,NA
"6","Universities will someday study what highly conflicted (and NOT Senate approved) Bob Mueller and his gang of Democr… https://t.co/DmZjfKit3v",FALSE,86905,NA,2018-11-15 14:49:28,TRUE,NA,"1063081553075625984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24507,FALSE,FALSE,NA,NA
"7","....care how many lives the ruin. These are Angry People, including the highly conflicted Bob Mueller, who worked f… https://t.co/HPiimzlaAt",FALSE,95133,NA,2018-11-15 12:32:03,TRUE,NA,"1063046973857718272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24695,FALSE,FALSE,NA,NA
"8","The inner workings of the Mueller investigation are a total mess. They have found no collusion and have gone absolu… https://t.co/f9e7BFhvaI",FALSE,89156,NA,2018-11-15 12:14:37,TRUE,NA,"1063042585802039296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24383,FALSE,FALSE,NA,NA
"9","The White House is running very smoothly and the results for our Nation are obviously very good. We are the envy of… https://t.co/KGB3KYwI3C",FALSE,89019,NA,2018-11-15 11:59:19,TRUE,NA,"1063038733673525248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21833,FALSE,FALSE,NA,NA
"10","Our pledge to hire American includes those leaving prison and looking for a very fresh start — new job, and new lif… https://t.co/wZQplga1me",FALSE,60169,NA,2018-11-14 23:26:38,TRUE,NA,"1062849316161753093",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15497,FALSE,FALSE,NA,NA
"11","I am grateful to be here today w/ Members of the House &amp; Senate who have poured their time, heart and energy into t… https://t.co/BYxsKOz1Io",FALSE,66063,NA,2018-11-14 22:10:27,TRUE,NA,"1062830145768165377",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16929,FALSE,FALSE,NA,NA
"12","Just spoke to Governor Jerry Brown to let him know that we are with him, and the people of California, all the way!",FALSE,93267,NA,2018-11-14 19:58:17,FALSE,NA,"1062796884648120320",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16269,FALSE,FALSE,NA,NA
"13","Was just briefed by @FEMA_Brock and @SecretaryZinke, who are in California. Thank you to the great Firefighters, Fi… https://t.co/cql3BeD2jy",FALSE,55310,NA,2018-11-14 19:35:22,TRUE,NA,"1062791114716000258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11981,FALSE,FALSE,NA,NA
"14","Not seen in many years, America’s steelworkers get a hard-earned raise because of my Administration’s policies to h… https://t.co/wdlRqxtYIW",FALSE,94464,NA,2018-11-14 19:28:24,TRUE,NA,"1062789364399390720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21547,FALSE,FALSE,NA,NA
"15","“Boom: Record high business optimism, need for employees at 45-year high” https://t.co/jBFjEwAcfd",FALSE,68608,NA,2018-11-13 21:35:42,FALSE,NA,"1062459010660622339",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18868,FALSE,FALSE,NA,NA
"16","It was my great honor to host a celebration of Diwali, the Hindu Festival of Lights, in the Roosevelt Room at the… https://t.co/RP1O31416e",FALSE,72650,NA,2018-11-13 21:20:48,TRUE,NA,"1062455263247155200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17010,FALSE,FALSE,NA,NA
"17","Today, we gathered for Diwali, a holiday observed by Buddhists, Sikhs, and Jains throughout the United States &amp; aro… https://t.co/wiSpXHWqRb",FALSE,47658,NA,2018-11-13 21:03:38,TRUE,NA,"1062450942707228672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10907,FALSE,FALSE,NA,NA
"18","We mourn for the lives lost and we pray for the victims of the California Wildfires. I want to thank the Firefighte… https://t.co/wryK9lH4h2",FALSE,66182,NA,2018-11-13 19:38:45,TRUE,NA,"1062429580521168896",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",15270,FALSE,FALSE,NA,NA
"19","The story in the New York Times concerning North Korea developing missile bases is inaccurate. We fully know about… https://t.co/DleVG3zI5H",FALSE,121994,NA,2018-11-13 17:07:45,TRUE,NA,"1062391577807601664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",33401,FALSE,FALSE,NA,NA
"20","When will Bill Nelson concede in Florida? The characters running Broward and Palm Beach voting will not be able to… https://t.co/S98irOmlzj",FALSE,99112,NA,2018-11-13 16:32:09,TRUE,NA,"1062382618870726656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",25801,FALSE,FALSE,NA,NA
"21","By the way, when the helicopter couldn’t fly to the first cemetery in France because of almost zero visibility, I s… https://t.co/Ir7a23m9fL",FALSE,118147,NA,2018-11-13 15:49:20,TRUE,NA,"1062371844836261891",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",30165,FALSE,FALSE,NA,NA
"22","......MAKE FRANCE GREAT AGAIN!",FALSE,152591,NA,2018-11-13 13:18:29,FALSE,NA,"1062333882610171907",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",41232,FALSE,FALSE,NA,NA
"23","The problem is that Emmanuel suffers from a very low Approval Rating in France, 26%, and an unemployment rate of al… https://t.co/QlstDTD1Dv",FALSE,106746,NA,2018-11-13 13:17:06,TRUE,NA,"1062333534214520832",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28493,FALSE,FALSE,NA,NA
"24","On Trade, France makes excellent wine, but so does the U.S. The problem is that France makes it very hard for the U… https://t.co/rzfwotgxI6",FALSE,117521,NA,2018-11-13 13:07:08,TRUE,NA,"1062331024426913792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28487,FALSE,FALSE,NA,NA
"25","Emmanuel Macron suggests building its own army to protect Europe against the U.S., China and Russia. But it was Ger… https://t.co/2QhmeaaxPk",FALSE,122349,NA,2018-11-13 11:50:41,TRUE,NA,"1062311785787744256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",36282,FALSE,FALSE,NA,NA
"26","I just approved an expedited request for a Major Disaster Declaration for the State of California. Wanted to respon… https://t.co/Mlsbzln0V2",FALSE,134916,NA,2018-11-13 01:19:55,TRUE,NA,"1062153051459469312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27539,FALSE,FALSE,NA,NA
"27","Hopefully, Saudi Arabia and OPEC will not be cutting oil production. Oil prices should be much lower based on supply!",FALSE,74468,NA,2018-11-12 18:21:04,FALSE,NA,"1062047641889095684",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17823,FALSE,FALSE,NA,NA
"28","American Cable Association has big problems with Comcast. They say that Comcast routinely violates Antitrust Laws.… https://t.co/3FXXwOR1wg",FALSE,67059,NA,2018-11-12 18:13:10,TRUE,NA,"1062045654711713792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17668,FALSE,FALSE,NA,NA
"29","The California Fire Fighters, FEMA and  First Responders are amazing and very brave. Thank you and God Bless you all!",FALSE,122430,NA,2018-11-12 16:31:27,FALSE,NA,"1062020057616793600",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22129,FALSE,FALSE,NA,NA
"30","The prospect of Presidential Harassment by the Dems is causing the Stock Market big headaches!",FALSE,81833,NA,2018-11-12 15:34:09,FALSE,NA,"1062005636488142848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20253,FALSE,FALSE,NA,NA
"31","The Florida Election should be called in favor of Rick Scott and Ron DeSantis in that large numbers of new ballots… https://t.co/9e9Qqkn9pq",FALSE,119746,NA,2018-11-12 12:44:13,TRUE,NA,"1061962869376540672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",34328,FALSE,FALSE,NA,NA
"32",".....of money spent on protecting other countries, and we get nothing but Trade Deficits and Losses. It is time tha… https://t.co/g5CpXgXYSn",FALSE,93088,NA,2018-11-12 12:21:11,TRUE,NA,"1061957074253418496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21926,FALSE,FALSE,NA,NA
"33",".....hundreds of billions of dollars, for the great privilege of losing hundreds of billions of dollars with these… https://t.co/XQWv7ciUgm",FALSE,78779,NA,2018-11-12 12:10:16,TRUE,NA,"1061954325843468288",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18160,FALSE,FALSE,NA,NA
"34","Just returned from France where much was accomplished in my meetings with World Leaders. Never easy bringing up the… https://t.co/6SMjfOoVfw",FALSE,106391,NA,2018-11-12 12:03:25,TRUE,NA,"1061952604807274498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24391,FALSE,FALSE,NA,NA
"35","Exactly 100 years ago today, on November 11th, 1918, World War I came to an end. We are gathered together, at this… https://t.co/FUKpp7JMtX",FALSE,92068,NA,2018-11-12 04:38:00,TRUE,NA,"1061840511026298880",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20882,FALSE,FALSE,NA,NA
"36","RT @FLOTUS: Today we remember the brave actions of our troops and those of our allies during WWI. Honored to be spending this day honoring…",FALSE,0,NA,2018-11-11 20:55:38,FALSE,NA,"1061724154339110912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18488,TRUE,FALSE,NA,NA
"37","Poland, a great country - Congratulations on the 100th Anniversary of your Independence. I will never forget my tim… https://t.co/8yuSBJvNoB",FALSE,108272,NA,2018-11-11 16:03:35,TRUE,NA,"1061650654194745344",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24099,FALSE,FALSE,NA,NA
"38","RT @WhiteHouse: President Trump Attends the American Commemoration Ceremony at Suresnes American Cemetery https://t.co/P6PgE1zXuE",FALSE,0,NA,2018-11-11 15:43:49,FALSE,NA,"1061645679603400704",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12500,TRUE,FALSE,NA,NA
"39","Beautiful ceremony today in Paris commemorating the end of World War One. Many World leaders in attendance. Thank y… https://t.co/yvnYpNt0Qx",FALSE,95019,NA,2018-11-11 14:52:56,TRUE,NA,"1061632874808520709",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18800,FALSE,FALSE,NA,NA
"40","On this Veterans Day — the 100th Anniversary of the end of WWI, we honor the brave HEROES who fought for America in… https://t.co/4N8hF7kXLk",FALSE,76956,NA,2018-11-11 14:16:42,TRUE,NA,"1061623758161625089",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20362,FALSE,FALSE,NA,NA
"41","With proper Forest Management, we can stop the devastation constantly going on in California. Get Smart!",FALSE,107528,NA,2018-11-11 09:40:50,FALSE,NA,"1061554334276747264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22285,FALSE,FALSE,NA,NA
"42","These California fires are expanding very, very quickly (in some cases 80-100 acres a minute). If people don’t evac… https://t.co/5WUnd01wou",FALSE,87677,NA,2018-11-10 22:20:40,TRUE,NA,"1061383163811893248",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20809,FALSE,FALSE,NA,NA
"43","More than 4,000 are fighting the Camp and Woolsey Fires in California that have burned over 170,000 acres. Our hear… https://t.co/bHG71OSXsq",FALSE,119086,NA,2018-11-10 22:19:35,TRUE,NA,"1061382890100002817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24747,FALSE,FALSE,NA,NA
"44","Trying to STEAL two big elections in Florida! We are watching closely!",FALSE,120247,NA,2018-11-10 19:09:29,FALSE,NA,"1061335051294728194",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31516,FALSE,FALSE,NA,NA
"45","Had very productive meetings and calls for our Country today. Meeting tonight with World Leaders!",FALSE,87663,NA,2018-11-10 19:06:50,FALSE,NA,"1061334384337399808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16138,FALSE,FALSE,NA,NA
"46","Happy 243rd Birthday to our GREAT U.S. Marine Corps<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> https://t.co/1cPtoMfmxP",FALSE,102299,NA,2018-11-10 14:09:42,FALSE,NA,"1061259607086112769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23646,FALSE,FALSE,NA,NA
"47","I am in Paris getting ready to celebrate the end of World War One. Is there anything better to celebrate than the e… https://t.co/t8uU75sD9I",FALSE,140755,NA,2018-11-10 08:17:44,TRUE,NA,"1061171030801158146",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24911,FALSE,FALSE,NA,NA
"48","There is no reason for these massive, deadly and costly forest fires in California except that forest management is… https://t.co/k5gzPlaT4E",FALSE,125684,NA,2018-11-10 08:08:52,TRUE,NA,"1061168803218948096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28875,FALSE,FALSE,NA,NA
"49","....Mr. Whitaker is very highly thought of by @SenJoniErnst, Senator @ChuckGrassley, Ambassador @TerryBranstad, Leo… https://t.co/uplNQmsTxe",FALSE,60490,NA,2018-11-10 04:04:53,TRUE,NA,"1061107399426220037",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14524,FALSE,FALSE,NA,NA
